0.004051	0.988283	1.070557	1.189359	-0.000088
0.025492	1.559062	1.170978	3.236911	-0.000592
0.075486	5.226275	1.502470	3.297795	-0.001869
0.150978	10.297192	1.773884	2.932003	-0.003901
0.234586	13.848383	1.980178	2.442919	-0.006304
0.299373	14.940600	2.131585	1.953962	-0.008244
0.318014	15.147951	2.258466	1.503179	-0.008432
0.313411	14.947666	3.118220	1.463340	-0.009865
0.003869	14.778791	3.024630	1.888647	-0.000103
0.002420	18.456064	2.482012	2.328682	-0.000064
0.001126	18.151406	2.261974	1.537939	-0.000030
0.000392	14.155887	2.306412	0.650467	-0.000010
0.000105	7.658832	3.621579	5.567258	0.000005
0.002798	1.050037	0.408191	0.275589	-0.000036
0.015651	0.450841	0.405964	1.974368	-0.000261
0.046975	1.771354	0.777786	2.109435	-0.001003
0.091069	5.016160	1.108196	1.973344	-0.002194
0.132105	7.606001	1.345958	1.679396	-0.003423
0.150478	8.643686	1.513405	1.327437	-0.004084
0.134131	8.943304	1.641810	0.968698	-0.003670
0.099064	8.872687	2.005676	0.934422	-0.003243
0.001277	13.145742	2.801595	1.747709	-0.000035
0.000758	16.996079	2.332103	1.995995	-0.000020
0.000323	16.370460	2.017771	1.105512	-0.000009
0.000100	12.391444	1.926738	0.378362	0.000004
0.000025	6.564837	3.172341	4.703083	0.000005
0.001704	0.904463	0.467216	0.087303	-0.000018
0.008180	0.991732	0.416834	1.014607	-0.000113
0.022222	1.259784	0.441888	1.079416	-0.000400
0.040686	2.797648	0.638186	1.036764	-0.000875
0.053566	4.289049	0.820604	0.887063	-0.001286
0.053058	4.930536	0.962845	0.684470	-0.001367
0.040024	5.106630	1.069632	0.473432	-0.001082
0.025208	5.061839	1.204892	0.493911	-0.000863
0.000367	11.316603	2.598902	1.478769	-0.000011
0.000209	15.285079	2.258224	1.527352	-0.000004
0.000082	14.497214	1.867402	0.662210	0.000006
0.000022	10.854597	1.620197	0.168196	0.000005
0.000005	5.743708	2.690314	4.133312	0.000002
0.000651	0.675345	0.407115	0.249211	-0.000004
0.002895	0.916392	0.474981	0.427136	-0.000027
0.007553	1.204854	0.409405	0.430576	-0.000106
0.013034	1.980482	0.426721	0.419633	-0.000234
0.015782	2.723746	0.491958	0.363152	-0.000324
0.014235	2.972207	0.579354	0.278663	-0.000315
0.010274	2.942003	0.664508	0.190446	-0.000233
0.006432	2.820366	0.716880	0.250043	-0.000162
0.000113	8.896292	2.505278	0.926425	0.000003
0.000059	13.157473	2.318789	0.929198	0.000006
0.000019	12.662060	1.781180	0.285277	0.000004
0.000004	9.646215	1.343730	0.047491	0.000002
0.000001	5.177034	2.254900	3.751126	0.000001
0.000221	0.476311	0.262260	0.273964	0.000000
0.000839	0.619177	0.429953	0.151175	-0.000001
0.002078	0.802001	0.387811	0.130379	-0.000014
0.003405	1.380112	0.322592	0.130093	-0.000036
0.003997	1.894008	0.277636	0.119246	-0.000044
0.003725	1.963375	0.319614	0.097538	-0.000033
0.003012	1.744284	0.411786	0.073651	-0.000003
0.002206	1.457765	0.449133	0.142357	0.000038
0.000031	5.438568	2.343866	0.737358	0.000005
0.000014	11.008298	2.964751	0.850036	0.000004
0.000005	11.341891	3.231327	0.399296	0.000002
0.000002	8.951189	3.504518	0.215412	0.000001
0.000001	4.883686	4.178697	3.451031	0.000001
